max_iterations rsme_mean rsme_first rsme_randn
0 2.990560e-02 1.962825e-01 2.170324e+01
1 2.851244e-02 1.769301e-01 2.113367e+01
2 2.731494e-02 1.595010e-01 2.001226e+01
3 2.628901e-02 1.438114e-01 1.881267e+01
4 2.541270e-02 1.296953e-01 1.762680e+01
5 2.466610e-02 1.170025e-01 1.648751e+01
6 2.403137e-02 1.055975e-01 1.540835e+01
7 2.349264e-02 9.535800e-02 1.439437e+01
8 2.303592e-02 8.617368e-02 1.344633e+01
9 2.264900e-02 7.794514e-02 1.256264e+01
10 2.232128e-02 7.058282e-02 1.174042e+01
11 2.204365e-02 6.400604e-02 1.097615e+01
12 2.180831e-02 5.814216e-02 1.026599e+01
13 2.160863e-02 5.292567e-02 9.606053e+00
14 2.143900e-02 4.829748e-02 8.992515e+00
15 2.129467e-02 4.420412e-02 8.421739e+00
16 2.117165e-02 4.059707e-02 7.890304e+00
17 2.106658e-02 3.743207e-02 7.395030e+00
18 2.097667e-02 3.466852e-02 6.932987e+00
19 2.089954e-02 3.226889e-02 6.501481e+00
20 2.083324e-02 3.019823e-02 6.098052e+00
21 2.077610e-02 2.842375e-02 5.720449e+00
22 2.072675e-02 2.691450e-02 5.366624e+00
23 2.068401e-02 2.564118e-02 5.034711e+00
24 2.064692e-02 2.457602e-02 4.723018e+00
25 2.061466e-02 2.369283e-02 4.430012e+00
26 2.058653e-02 2.296708e-02 4.154302e+00
27 2.056194e-02 2.237602e-02 3.894625e+00
28 2.054042e-02 2.189892e-02 3.649828e+00
29 2.052153e-02 2.151712e-02 3.418852e+00
30 2.050492e-02 2.121418e-02 3.200712e+00
31 2.049030e-02 2.097585e-02 2.994495e+00
32 2.047739e-02 2.078995e-02 2.799346e+00
33 2.046599e-02 2.064629e-02 2.614474e+00
34 2.045590e-02 2.053637e-02 2.439154e+00
35 2.044696e-02 2.045326e-02 2.272740e+00
36 2.043902e-02 2.039131e-02 2.114667e+00
37 2.043196e-02 2.034596e-02 1.964463e+00
38 2.042569e-02 2.031355e-02 1.821747e+00
39 2.042010e-02 2.029117e-02 1.686228e+00
40 2.041512e-02 2.027650e-02 1.557694e+00
41 2.041068e-02 2.026771e-02 1.436000e+00
42 2.040671e-02 2.026335e-02 1.321046e+00
43 2.040317e-02 2.026229e-02 1.212761e+00
44 2.040000e-02 2.026365e-02 1.111077e+00
45 2.039716e-02 2.026673e-02 1.015920e+00
46 2.039462e-02 2.027101e-02 9.271854e-01
47 2.039235e-02 2.027607e-02 8.447368e-01
48 2.039031e-02 2.028160e-02 7.683978e-01
49 2.038849e-02 2.028736e-02 6.979528e-01
50 2.038685e-02 2.029318e-02 6.331515e-01
51 2.038538e-02 2.029894e-02 5.737142e-01
52 2.038406e-02 2.030453e-02 5.193401e-01
53 2.038288e-02 2.030990e-02 4.697146e-01
54 2.038182e-02 2.031501e-02 4.245176e-01
55 2.038086e-02 2.031982e-02 3.834291e-01
56 2.038000e-02 2.032433e-02 3.461354e-01
57 2.037923e-02 2.032852e-02 3.123335e-01
58 2.037854e-02 2.033242e-02 2.817337e-01
59 2.037792e-02 2.033602e-02 2.540623e-01
60 2.037736e-02 2.033933e-02 2.290626e-01
61 2.037686e-02 2.034238e-02 2.064957e-01
62 2.037641e-02 2.034517e-02 1.861406e-01
63 2.037600e-02 2.034772e-02 1.677939e-01
64 2.037564e-02 2.035004e-02 1.512687e-01
65 2.037531e-02 2.035217e-02 1.363947e-01
66 2.037501e-02 2.035410e-02 1.230165e-01
67 2.037475e-02 2.035585e-02 1.109931e-01
68 2.037451e-02 2.035744e-02 1.001964e-01
69 2.037429e-02 2.035889e-02 9.051060e-02
70 2.037410e-02 2.036020e-02 8.183119e-02
71 2.037393e-02 2.036138e-02 7.406373e-02
72 2.037377e-02 2.036245e-02 6.712309e-02
73 2.037363e-02 2.036343e-02 6.093254e-02
74 2.037350e-02 2.036430e-02 5.542292e-02
75 2.037339e-02 2.036510e-02 5.053183e-02
76 2.037328e-02 2.036581e-02 4.620282e-02
77 2.037319e-02 2.036646e-02 4.238469e-02
78 2.037311e-02 2.036704e-02 3.903075e-02
79 2.037303e-02 2.036757e-02 3.609817e-02
80 2.037297e-02 2.036804e-02 3.354735e-02
81 2.037291e-02 2.036847e-02 3.134143e-02
82 2.037285e-02 2.036886e-02 2.944581e-02
83 2.037280e-02 2.036921e-02 2.782786e-02
84 2.037276e-02 2.036952e-02 2.645674e-02
85 2.037272e-02 2.036980e-02 2.530329e-02
86 2.037268e-02 2.037006e-02 2.434016e-02
87 2.037265e-02 2.037029e-02 2.354185e-02
88 2.037262e-02 2.037049e-02 2.288490e-02
89 2.037260e-02 2.037068e-02 2.234803e-02
90 2.037257e-02 2.037085e-02 2.191219e-02
91 2.037255e-02 2.037100e-02 2.156061e-02
92 2.037253e-02 2.037113e-02 2.127875e-02
93 2.037252e-02 2.037126e-02 2.105414e-02
94 2.037250e-02 2.037137e-02 2.087624e-02
95 2.037249e-02 2.037147e-02 2.073623e-02
96 2.037247e-02 2.037156e-02 2.062679e-02
97 2.037246e-02 2.037164e-02 2.054190e-02
98 2.037245e-02 2.037171e-02 2.047662e-02
99 2.037244e-02 2.037177e-02 2.042695e-02
100 2.037244e-02 2.037183e-02 2.038963e-02
